V1,V2,V4,filter_$,VAR00002,hour
E72309,1000019,10/17/2014,1,0,7
E79105,1000019,10/17/2014,1,0,7
C36789,1000019,10/17/2014,1,0,7
A75251,1000019,10/17/2014,1,0,7
A55248,1000019,10/17/2014,1,0,7
A51918,1000019,10/17/2014,1,0,7
C38712,1000019,10/17/2014,1,0,7
A79114,1000019,10/17/2014,1,0,7
E52931,1000019,10/17/2014,1,0,7
D49136,1000019,10/17/2014,1,0,7
B77707,1000019,10/17/2014,1,0,7
E72820,1000019,10/17/2014,1,0,7
C61107,1000019,10/17/2014,1,0,7
C77342,1000019,10/17/2014,1,0,7
E67654,1000019,10/17/2014,1,0,7
D69400,1000019,10/17/2014,1,0,7
B55063,1000019,10/17/2014,1,0,7
A79072,1000019,10/17/2014,1,0,7
A72966,1000019,10/17/2014,1,0,7
D49201,1000019,10/17/2014,1,0,7
B70690,1000019,10/17/2014,1,0,7
E79057,1000019,10/17/2014,1,0,7
D61791,1000019,10/17/2014,1,0,7
E79057,1000019,10/17/2014,1,0,7
C58978,1000019,10/17/2014,1,0,7
A66643,1000019,10/17/2014,1,0,7
C58525,1000019,10/17/2014,1,0,8
D72580,1000019,10/17/2014,1,0,8
E69332,1000019,10/17/2014,1,0,8
D79648,1000019,10/17/2014,1,0,8
E79163,1000019,10/17/2014,1,0,8
D54574,1000019,10/17/2014,1,0,8
E79163,1000019,10/17/2014,1,0,8
A66643,1000019,10/17/2014,1,0,8
B77173,1000019,10/17/2014,1,0,8
A47547,1000019,10/17/2014,1,0,8
C52825,1000019,10/17/2014,1,0,8
C44578,1000019,10/17/2014,1,0,8
D66956,1000019,10/17/2014,1,0,8
C44578,1000019,10/17/2014,1,0,8
C67167,1000019,10/17/2014,1,0,8
A67867,1000019,10/17/2014,1,0,8
B42598,1000019,10/17/2014,1,0,8
C24087,1000019,10/17/2014,1,0,8
A69432,1000019,10/17/2014,1,0,8
C24087,1000019,10/17/2014,1,0,8
B74296,1000019,10/17/2014,1,0,8
C77985,1000019,10/17/2014,1,0,8
E69089,1000019,10/17/2014,1,0,8
B28479,1000019,10/17/2014,1,0,8
A50392,1000019,10/17/2014,1,0,8
B51773,1000019,10/17/2014,1,0,8
D33314,1000019,10/17/2014,1,0,8
E61076,1000019,10/17/2014,1,0,8
E50563,1000019,10/17/2014,1,0,8
E50563,1000019,10/17/2014,1,0,8
E47974,1000019,10/17/2014,1,0,8
E77689,1000019,10/17/2014,1,0,8
D20763,1000019,10/17/2014,1,0,8
D77377,1000019,10/17/2014,1,0,8
C52209,1000019,10/17/2014,1,0,8
A71197,1000019,10/17/2014,1,0,8
D20763,1000019,10/17/2014,1,0,8
E76934,1000019,10/17/2014,1,0,8
E62831,1000019,10/17/2014,1,0,8
B66545,1000019,10/17/2014,1,0,8
B66545,1000019,10/17/2014,1,0,8
D76643,1000019,10/17/2014,1,0,8
E47813,1000019,10/17/2014,1,0,8
E78143,1000019,10/17/2014,1,0,8
E48583,1000019,10/17/2014,1,0,8
E48583,1000019,10/17/2014,1,0,8
C66048,1000019,10/17/2014,1,0,8
A73744,1000019,10/17/2014,1,0,8
E65976,1000019,10/17/2014,1,0,8
A63241,1000019,10/17/2014,1,0,8
D71764,1000019,10/17/2014,1,0,8
D71764,1000019,10/17/2014,1,0,8
E53658,1000019,10/17/2014,1,0,8
C60992,1000019,10/17/2014,1,0,8
A74255,1000019,10/17/2014,1,0,9
C68309,1000019,10/17/2014,1,0,9
E54068,1000019,10/17/2014,1,0,9
B79485,1000019,10/17/2014,1,0,9
A65465,1000019,10/17/2014,1,0,9
E76981,1000019,10/17/2014,1,0,9
B79485,1000019,10/17/2014,1,0,9
B47760,1000019,10/17/2014,1,0,9
D59213,1000019,10/17/2014,1,0,9
B72892,1000019,10/17/2014,1,0,9
C57579,1000019,10/17/2014,1,0,9
D40402,1000019,10/17/2014,1,0,9
B49337,1000019,10/17/2014,1,0,9
D39902,1000019,10/17/2014,1,0,9
B76333,1000019,10/17/2014,1,0,9
E58654,1000019,10/17/2014,1,0,9
E55711,1000019,10/17/2014,1,0,9
E73757,1000019,10/17/2014,1,0,9
C41094,1000019,10/17/2014,1,0,9
A47432,1000019,10/17/2014,1,0,9
A78332,1000019,10/17/2014,1,0,9
D39048,1000019,10/17/2014,1,0,9
D52262,1000019,10/17/2014,1,0,9
E55234,1000019,10/17/2014,1,0,9
D71022,1000019,10/17/2014,1,0,9
A70889,1000019,10/17/2014,1,0,9
A39434,1000019,10/17/2014,1,0,9
E35554,1000019,10/17/2014,1,0,9
D52262,1000019,10/17/2014,1,0,9
E55234,1000019,10/17/2014,1,0,9
B34227,1000019,10/17/2014,1,0,9
A42649,1000019,10/17/2014,1,0,9
C38004,1000019,10/17/2014,1,0,9
C41094,1000019,10/17/2014,1,0,9
B72078,1000019,10/17/2014,1,0,9
D73061,1000019,10/17/2014,1,0,9
D21309,1000019,10/17/2014,1,0,9
D72032,1000019,10/17/2014,1,0,9
D35369,1000019,10/17/2014,1,0,9
E27016,1000019,10/17/2014,1,0,9
E62069,1000019,10/17/2014,1,0,9
D78701,1000019,10/17/2014,1,0,9
A39365,1000019,10/17/2014,1,0,9
E71209,1000019,10/17/2014,1,0,9
D78546,1000019,10/17/2014,1,0,9
D59457,1000019,10/17/2014,1,0,9
E76997,1000019,10/17/2014,1,0,9
D75560,1000019,10/17/2014,1,0,9
B76209,1000019,10/17/2014,1,0,9
E77478,1000019,10/17/2014,1,0,9
A62803,1000019,10/17/2014,1,0,9
E67294,1000019,10/17/2014,1,0,9
E61391,1000019,10/17/2014,1,0,9
E38945,1000019,10/17/2014,1,0,9
C77459,1000019,10/17/2014,1,0,9
C72088,1000019,10/17/2014,1,0,9
C63909,1000019,10/17/2014,1,0,9
B44572,1000019,10/17/2014,1,0,9
C59754,1000019,10/17/2014,1,0,9
D68472,1000019,10/17/2014,1,0,9
C77032,1000019,10/17/2014,1,0,9
D22141,1000019,10/17/2014,1,0,9
B47400,1000019,10/17/2014,1,0,9
D79727,1000019,10/17/2014,1,0,9
A25679,1000019,10/17/2014,1,0,9
A77991,1000019,10/17/2014,1,0,9
B43004,1000019,10/17/2014,1,0,9
E77478,1000019,10/17/2014,1,0,9
E63055,1000019,10/17/2014,1,0,9
A57600,1000019,10/17/2014,1,0,9
B64357,1000019,10/17/2014,1,0,9
B45142,1000019,10/17/2014,1,0,9
D64138,1000019,10/17/2014,1,0,9
D77539,1000019,10/17/2014,1,0,9
E70130,1000019,10/17/2014,1,0,9
A74699,1000019,10/17/2014,1,0,9
D43040,1000019,10/17/2014,1,0,9
A75792,1000019,10/17/2014,1,0,9
E51083,1000019,10/17/2014,1,0,9
E53562,1000019,10/17/2014,1,0,9
E66747,1000019,10/17/2014,1,0,10
D43020,1000019,10/17/2014,1,0,10
D43020,1000019,10/17/2014,1,0,10
D43020,1000019,10/17/2014,1,0,10
A55173,1000019,10/17/2014,1,0,10
E65568,1000019,10/17/2014,1,0,10
B66961,1000019,10/17/2014,1,0,10
D64051,1000019,10/17/2014,1,0,10
D67927,1000019,10/17/2014,1,0,10
D76139,1000019,10/17/2014,1,0,10
A47892,1000019,10/17/2014,1,0,10
E72567,1000019,10/17/2014,1,0,10
C77726,1000019,10/17/2014,1,0,10
E45936,1000019,10/17/2014,1,0,10
B78162,1000019,10/17/2014,1,0,10
E78803,1000019,10/17/2014,1,0,10
D56165,1000019,10/17/2014,1,0,10
E43510,1000019,10/17/2014,1,0,10
B69087,1000019,10/17/2014,1,0,10
B75575,1000019,10/17/2014,1,0,10
B58332,1000019,10/17/2014,1,0,10
B79276,1000019,10/17/2014,1,0,10
D64745,1000019,10/17/2014,1,0,10
C27917,1000019,10/17/2014,1,0,10
B35040,1000019,10/17/2014,1,0,10
E69240,1000019,10/17/2014,1,0,10
E69240,1000019,10/17/2014,1,0,10
C58474,1000019,10/17/2014,1,0,10
E75996,1000019,10/17/2014,1,0,10
B28063,1000019,10/17/2014,1,0,10
E75996,1000019,10/17/2014,1,0,10
A73877,1000019,10/17/2014,1,0,10
B73346,1000019,10/17/2014,1,0,10
A65795,1000019,10/17/2014,1,0,10
A73877,1000019,10/17/2014,1,0,10
A73877,1000019,10/17/2014,1,0,10
C56666,1000019,10/17/2014,1,0,10
A65795,1000019,10/17/2014,1,0,10
C74847,1000019,10/17/2014,1,0,11
E68953,1000019,10/17/2014,1,0,11
B62466,1000019,10/17/2014,1,0,11
D74584,1000019,10/17/2014,1,0,11
B71864,1000019,10/17/2014,1,0,11
E68953,1000019,10/17/2014,1,0,11
B53271,1000019,10/17/2014,1,0,11
E57266,1000019,10/17/2014,1,0,11
E64708,1000019,10/17/2014,1,0,11
B69252,1000019,10/17/2014,1,0,11
C67496,1000019,10/17/2014,1,0,11
C24148,1000019,10/17/2014,1,0,11
D67026,1000019,10/17/2014,1,0,11
E69734,1000019,10/17/2014,1,0,11
E79095,1000019,10/17/2014,1,0,11
B77441,1000019,10/17/2014,1,0,11
C52140,1000019,10/17/2014,1,0,11
A61130,1000019,10/17/2014,1,0,11
C79533,1000019,10/17/2014,1,0,11
A66230,1000019,10/17/2014,1,0,11
B69252,1000019,10/17/2014,1,0,11
D78858,1000019,10/17/2014,1,0,11
B76191,1000019,10/17/2014,1,0,11
B34481,1000019,10/17/2014,1,0,11
B41677,1000019,10/17/2014,1,0,11
B68248,1000019,10/17/2014,1,0,11
B73332,1000019,10/17/2014,1,0,11
A34310,1000019,10/17/2014,1,0,11
A53004,1000019,10/17/2014,1,0,11
C70813,1000019,10/17/2014,1,0,11
C77728,1000019,10/17/2014,1,0,11
B63003,1000019,10/17/2014,1,0,11
B64395,1000019,10/17/2014,1,0,11
E73724,1000019,10/17/2014,1,0,11
A77939,1000019,10/17/2014,1,0,11
C28751,1000019,10/17/2014,1,0,11
C55637,1000019,10/17/2014,1,0,11
D40402,1000019,10/17/2014,1,0,11
E68405,1000019,10/17/2014,1,0,11
E61544,1000019,10/17/2014,1,0,11
C75055,1000019,10/17/2014,1,0,11
A45000,1000019,10/17/2014,1,0,11
E78435,1000019,10/17/2014,1,0,11
E78435,1000019,10/17/2014,1,0,11
D67183,1000019,10/17/2014,1,0,11
E49204,1000019,10/17/2014,1,0,11
D67183,1000019,10/17/2014,1,0,11
C42023,1000019,10/17/2014,1,0,11
D70305,1000019,10/17/2014,1,0,11
B51378,1000019,10/17/2014,1,0,11
E68720,1000019,10/17/2014,1,0,11
E63660,1000019,10/17/2014,1,0,11
B16488,1000019,10/17/2014,1,0,11
C77968,1000019,10/17/2014,1,0,11
A66808,1000019,10/17/2014,1,0,11
B21348,1000019,10/17/2014,1,0,11
B53260,1000019,10/17/2014,1,0,11
E43376,1000019,10/17/2014,1,0,11
E61007,1000019,10/17/2014,1,0,11
C79067,1000019,10/17/2014,1,0,11
D61150,1000019,10/17/2014,1,0,11
D79729,1000019,10/17/2014,1,0,11
D67414,1000019,10/17/2014,1,0,11
B65741,1000019,10/17/2014,1,0,11
B63112,1000019,10/17/2014,1,0,11
C34505,1000019,10/17/2014,1,0,11
E67835,1000019,10/17/2014,1,0,11
E55912,1000019,10/17/2014,1,0,11
A74586,1000019,10/17/2014,1,0,11
D56462,1000019,10/17/2014,1,0,11
C70626,1000019,10/17/2014,1,0,11
D67414,1000019,10/17/2014,1,0,11
E67715,1000019,10/17/2014,1,0,11
