V1,V2,V4,filter_$,VAR00002,hour
C76411,1000233,10/17/2014,1,3,6
C44767,1000233,10/17/2014,1,3,6
D60102,1000233,10/17/2014,1,3,6
B51150,1000233,10/17/2014,1,3,6
D67188,1000233,10/17/2014,1,3,6
E39931,1000233,10/17/2014,1,3,6
B66703,1000233,10/17/2014,1,3,6
C79200,1000233,10/17/2014,1,3,6
C76920,1000233,10/17/2014,1,3,6
D69290,1000233,10/17/2014,1,3,6
E76203,1000233,10/17/2014,1,3,6
D69290,1000233,10/17/2014,1,3,7
C46416,1000232,10/17/2014,1,3,7
E52334,1000233,10/17/2014,1,3,7
E63432,1000233,10/17/2014,1,3,7
A49717,1000233,10/17/2014,1,3,7
B46200,1000233,10/17/2014,1,3,7
C77545,1000233,10/17/2014,1,3,7
E46204,1000233,10/17/2014,1,3,7
A77258,1000233,10/17/2014,1,3,7
C79200,1000233,10/17/2014,1,3,7
D45932,1000233,10/17/2014,1,3,7
C70925,1000233,10/17/2014,1,3,7
E74358,1000233,10/17/2014,1,3,7
B51860,1000233,10/17/2014,1,3,7
D76505,1000233,10/17/2014,1,3,7
B78691,1000233,10/17/2014,1,3,7
D45932,1000233,10/17/2014,1,3,7
D67188,1000233,10/17/2014,1,3,7
E35462,1000233,10/17/2014,1,3,7
E76203,1000233,10/17/2014,1,3,7
B78691,1000233,10/17/2014,1,3,7
C44767,1000233,10/17/2014,1,3,7
E52334,1000233,10/17/2014,1,3,7
A32229,1000233,10/17/2014,1,3,7
E51546,1000233,10/17/2014,1,3,7
C77350,1000233,10/17/2014,1,3,7
C79200,1000233,10/17/2014,1,3,7
B47614,1000233,10/17/2014,1,3,7
C63912,1000233,10/17/2014,1,3,7
C75815,1000233,10/17/2014,1,3,7
C77350,1000233,10/17/2014,1,3,7
D67188,1000233,10/17/2014,1,3,7
E77331,1000233,10/17/2014,1,3,7
C48858,1000233,10/17/2014,1,3,7
C63912,1000233,10/17/2014,1,3,7
A57149,1000233,10/17/2014,1,3,7
A60696,1000233,10/17/2014,1,3,7
C58387,1000233,10/17/2014,1,3,7
D67426,1000233,10/17/2014,1,3,7
